,Time,User,Tweet
0,2022-09-15 03:20:21+00:00,wolfdotgame,"Eligible Landowners:

Which Structure will you build?

- The Shepherd"
1,2022-09-14 02:32:12+00:00,wolfdotgame,"As I stroll across our Genesis Lands, I cannot help admiring the richness of our Farm.

The pasturelands, ripe for grazing.
The forests, tall and untouched.
The quarries, modest yet deep.
The lakes, calm and restorative.

All are home to essential resources.

- The Shepherd"
2,2022-09-13 03:27:29+00:00,wolfdotgame,"Refresh your Genesis Land metadata on OpenSea.

https://t.co/oyO1d7veax"
3,2022-09-13 03:27:28+00:00,wolfdotgame,"The Genesis Lands have been unveiled.

The full game comes in Q4.

Enjoy the sounds of the Farm during build season.

- The Shepherd https://t.co/BvFS83gPY4"
4,2022-09-11 19:11:39+00:00,wolfdotgame,"The Harvest Moon has risen.

All will soon be revealed under the moonlight.

- The Shepherd"
5,2022-09-11 02:50:58+00:00,wolfdotgame,"Community Members:

You will have the opportunity to vote.

- The Shepherd https://t.co/zi03peqU6Z"
6,2022-09-10 02:14:51+00:00,wolfdotgame,"Community Members:

Those who work together stand to cultivate the most fertile Lands.

- The Shepherd https://t.co/eFgW8ptc4o"
7,2022-09-09 02:54:27+00:00,wolfdotgame,"Some Genesis Lands live beyond the verdant valleys of the Farm.

- The Shepherd"
8,2022-09-09 02:42:37+00:00,wolfdotgame,"As I believe The Kids say, the Farm will keep it 100.

- The Shepherd"
9,2022-09-08 02:13:51+00:00,wolfdotgame,"Genesis Landowners:

Acreage to build upon is precious.

Compatible terrain is required to erect Structures.

- The Shepherd https://t.co/T1tCM7yk5F"
10,2022-09-07 02:03:44+00:00,wolfdotgame,"Ordinance #16:

Landowners shall have the power to lay and collect taxes on Resources collected from their Lands.

- The Shepherd"
11,2022-09-05 01:09:12+00:00,wolfdotgame,"Sheep:

Take caution while Collecting. 

Wolves prowl in plain sight, and they gravitate toward greed.

- The Shepherd https://t.co/u8Fcuylm4i"
12,2022-09-03 02:18:10+00:00,wolfdotgame,"Up early this morning, I read a chapter from ""The Many Uses of WOOL.""

The pages are old and tattered, but some details of their ancient blueprints remain.

- The Shepherd https://t.co/XbDxDTVOkR"
13,2022-08-30 02:37:32+00:00,wolfdotgame,"I have heard whispers of certain Genesis Lands containing miraculous, restorative properties.

Legend has spread across the Farm, and all are keen to find truth.

- The Shepherd https://t.co/C15htAyEJT"
14,2022-08-28 02:20:39+00:00,wolfdotgame,"Weather Report:

Rainy with a 100% chance of WOOL burning.

- The Shepherd https://t.co/31EnjANb6j"
15,2022-08-25 02:08:01+00:00,wolfdotgame,"On the Farm, Sheep shall sit under their own vine and plum trees.

Only a select group shall cause them fear.

- The Shepherd https://t.co/bQrej7AerW"
16,2022-08-23 02:25:50+00:00,wolfdotgame,"Breeding happens in pairs.

While the Farm welcomes all tastes and orientations, singles and trios will be required to find partners to participate.

- The Shepherd https://t.co/VytOpnLxBx"
17,2022-08-21 02:34:08+00:00,wolfdotgame,"Players:

Your Farmers are ready to stretch their legs. Walking models are now live.

They are ready to patrol Lands and enrich the Farm with versatile capabilities.

- The Shepherd https://t.co/PHXZmd8Bg4"
18,2022-08-18 02:41:25+00:00,wolfdotgame,https://t.co/AbQuYafA95
19,2022-08-16 02:30:03+00:00,wolfdotgame,"I welcome new Players to the Farm, but I will take great care on the journey of Farm expansion.

I have cultivated these Genesis Lands for centuries, and longevity is precious.

- The Shepherd"
20,2022-08-14 02:24:46+00:00,wolfdotgame,"Upon launch of the full game in Q4, many uses of WOOL will unlock.

Prior to this, Alpha Game will come to a close, with its WOOL winnings pouched in preparation for launch.

For now, the competition goes on. Time will tell who is the true Alpha.

Grateful always,
- The Shepherd"
21,2022-08-11 03:05:47+00:00,wolfdotgame,"Farmers do not only watch over our Lands.

They also watch over the flock.

- The Shepherd https://t.co/AMxt2FCirU"
22,2022-08-10 18:07:46+00:00,wolfdotgame,RT @veefriends: The Wolf Pack airdrop is upon us! Congrats to all eligible VeeFriends holders and Wolf Game players on receiving an exclusi…
23,2022-08-09 01:42:17+00:00,wolfdotgame,"Landowners:

Like Alpha Game, the full game is not always every Player for themselves.

The path to WOOL takes Community.

- The Shepherd"
24,2022-08-07 02:02:30+00:00,wolfdotgame,"Today's Farm report:

My vision for the Farm and our economy is coming to life, day after day.

Our Lands look lush with resources.

Q4 is right around the corner. We are on track.

- The Shepherd"
25,2022-08-04 02:29:20+00:00,wolfdotgame,"Inspiration is all around us, especially during build season.

- The Shepherd https://t.co/DNk880lulj"
26,2022-08-02 01:47:39+00:00,wolfdotgame,"Like WOOL, time is precious. 

The full game will afford Players of all shapes and sizes the opportunity to prosper.

- The Shepherd"
27,2022-07-31 03:35:05+00:00,wolfdotgame,"Community is the answer, both on and off the Farm.

- The Shepherd"
28,2022-07-29 02:57:51+00:00,wolfdotgame,"Today's Farm report:

Tilling our Lands early this morning, I uncovered a map.

It seems to give a glimpse into the past, and clues about the future.

- The Shepherd https://t.co/IobZrbgsA6"
29,2022-07-27 01:38:25+00:00,wolfdotgame,"Tx: https://t.co/NFmYhsMiDJ

4/4"
